[0.54861266 0.38734614]
[0.48817119 0.10783811]
[0.48105917 0.37173871]
[0.63359116 0.13179965]
[0.70833046 0.02908748]
[0.61205506 0.12397937]
[0.38808544 0.37065309]
[0.25755233 0.02359361]
[0.25684933 0.02603068]
[0.43459142 0.65686054]
[0.88365769 0.14494105]
[0.75197983 0.93905976]
[0.70345332 0.86247745]
[0.51229766 0.98184374]
[0.2980787  0.89886592]
[0.71282089 0.49382116]
[0.04926207 0.96284543]
[0.29520112 0.37802685]
[0.92938886 0.70770284]
[0.8060667  0.96244096]
[0.13765428 0.9539946 ]
[0.4376949  0.32404561]
[0.79939739 0.28342   ]
[0.88418607 0.8957482 ]
[0.17923914 0.3339475 ]
[0.2091576  0.52964569]
[0.96686382 0.9834669 ]
[0.8233841  0.01854136]
[0.0832546  0.59308014]
[0.05677185 0.47926098]
[0.57258603 0.46063894]
[0.17348144 0.61868667]
[0.12956961 0.76742954]
[0.37544554 0.87061136]
[0.8957665  0.35478909]
[0.14082049 0.35248134]
[0.29030874 0.16169258]
[0.83704604 0.41004912]
[0.38368191 0.10410762]
[0.01666415 0.31334969]
[0.47512101 0.8047511 ]
[0.55523571 0.08130561]
[0.07663681 0.04047801]
[0.60872718 0.98398589]
[0.56701639 0.01743574]
[0.12445363 0.07136453]
[0.10770182 0.81537263]
[0.76518818 0.10500816]
[0.81823492 0.72550448]
[0.94766408 0.08245038]
[0.07054425 0.81746767]
[0.92307493 0.70262346]
[0.1579939  0.37449597]
[0.8926104  0.05581797]
[0.45541724 0.6997    ]
[0.57559133 0.58338402]
[0.51510059 0.98737861]
[0.728149   0.10910705]
[0.63906109 0.01416737]
[0.61434116 0.98574773]
[0.95025545 0.78034729]
[0.21829152 0.58064024]
[0.70251542 0.18659342]
[0.30890188 0.61858557]
[0.72900743 0.63902242]
[0.53793482 0.32472617]
[0.12008472 0.48496209]
[0.01140216 0.07758188]
[0.68623878 0.49642132]
[0.77330848 0.29626664]
[0.30362335 0.3352243 ]
[0.96090353 0.73594313]
[0.23483857 0.7540893 ]
[0.21250242 0.3708942 ]
[0.78458931 0.76444192]
[0.79228072 0.59618029]
[0.41075074 0.24262332]
[0.54303096 0.50409966]
[0.38302057 0.11393528]
[0.84107134 0.64345996]
[0.16218592 0.81365328]
[0.26743746 0.00239956]
[0.04671437 0.80065126]
[0.93441733 0.22018512]
[0.73174379 0.22973728]
[0.52287003 0.29696893]
[0.22949603 0.13304244]
[0.29179789 0.49940365]
[0.04626931 0.79341055]
[0.47726661 0.41509333]
[0.52487249 0.97541696]
[0.9044761  0.67204409]
[0.78323699 0.16112959]
[0.63839369 0.19640998]
[0.7191646 0.9206624]
[0.00628479 0.42874513]
[0.35515344 0.08536867]
[0.5676272  0.89160919]
[0.52874491 0.26718717]
[0.07224262 0.03640089]
